3PAV rank,name,shot score,3P%,3PAV,number shots
1,Duncan Robinson,42.9%,43.7%,0.262,1340
2,Joe Harris,42.7%,44.8%,0.205,1818
3,Seth Curry,41.5%,44.9%,0.182,1194
4,Bryn Forbes,41.6%,42.9%,0.18,1360
5,Michael Porter Jr.,40.9%,44.9%,0.169,566
6,Luke Kennard,41.2%,43.0%,0.164,814
7,Jayson Tatum,39.8%,40.3%,0.152,1538
8,Anfernee Simons,39.7%,40.6%,0.143,525
9,Stephen Curry,39.0%,43.5%,0.138,4939
10,Kyle Korver,40.4%,44.8%,0.137,2586
11,Davis Bertans,39.1%,39.6%,0.137,1593
12,Fred VanVleet,39.6%,40.9%,0.136,1490
13,Zach LaVine,38.5%,40.0%,0.134,1931
14,CJ McCollum,39.3%,40.9%,0.13,2919
15,Kyrie Irving,39.0%,39.9%,0.129,2735
16,Chris Paul,38.2%,39.0%,0.127,2275
17,Devonte' Graham,37.8%,38.4%,0.126,1103
18,Kendrick Nunn,39.5%,38.7%,0.125,716
19,Bogdan Bogdanovic,38.9%,40.2%,0.122,1409
20,Buddy Hield,39.4%,42.3%,0.118,2564
21,Gary Trent Jr.,38.9%,40.4%,0.115,676
22,Sterling Brown,40.5%,38.7%,0.115,592
23,Darius Garland,38.8%,40.0%,0.114,530
24,Kevin Huerter,39.0%,39.3%,0.113,1024
25,Troy Daniels,38.4%,41.1%,0.112,1302
26,Kevin Durant,37.9%,40.1%,0.111,2429
27,Malcolm Brogdon,39.5%,41.0%,0.11,1211
28,Joe Ingles,39.6%,42.4%,0.105,2303
29,Khris Middleton,39.1%,40.8%,0.104,2513
30,Tyler Herro,38.2%,39.6%,0.104,672
31,Otto Porter Jr.,39.9%,41.9%,0.103,1364
32,Damian Lillard,36.6%,38.7%,0.102,4624
33,Klay Thompson,38.8%,43.1%,0.098,3674
34,Luke Babbitt,39.8%,43.1%,0.098,601
35,Collin Sexton,38.4%,39.1%,0.098,770
36,Karl-Anthony Towns,39.1%,40.0%,0.094,1502
37,Monte Morris,39.5%,38.7%,0.09,564
38,Terry Rozier,38.3%,39.0%,0.09,1914
39,JJ Redick,38.7%,42.8%,0.089,3018
40,Georges Niang,39.8%,42.0%,0.088,676
41,Darren Collison,39.1%,42.7%,0.087,986
42,Bojan Bogdanovic,38.7%,40.3%,0.086,2554
43,Jamal Murray,38.0%,38.7%,0.085,1754
44,Tyreke Evans,37.4%,37.6%,0.084,892
45,Grayson Allen,38.8%,39.5%,0.084,529
46,Malik Beasley,38.5%,39.9%,0.083,1095
47,D.J. Augustin,37.7%,40.9%,0.082,1749
48,Cameron Johnson,38.9%,37.6%,0.08,596
49,Paul George,37.8%,40.2%,0.08,3531
50,Donovan Mitchell,36.6%,38.3%,0.078,2029
51,Ryan Anderson,37.8%,37.4%,0.078,1633
52,E'Twaun Moore,39.3%,40.5%,0.078,1102
53,Norman Powell,38.3%,39.3%,0.077,1360
54,JR Smith,37.6%,39.9%,0.077,2235
55,Furkan Korkmaz,38.1%,39.0%,0.076,765
56,Coby White,38.1%,37.6%,0.076,763
57,Doug McDermott,38.4%,41.4%,0.075,1420
58,Devin Booker,36.5%,36.4%,0.075,1944
59,Shai Gilgeous-Alexander,38.1%,38.5%,0.075,566
